Planning Area,Total,Age 0 - 4,Age 5 - 9,Age 10 - 14,Age 15 - 19,Age 20 - 24,Age 25 - 29,Age 30 - 34,Age 35 - 39,Age 40 - 44,Age 45 - 49,Age 50 - 54,Age 55 - 59,Age 60 - 64,Age 65 - 69,Age 70 - 74,Age 75 - 79,Age 80 - 84,Age 85 & Over
Sungei Kadut,850,30,30,40,40,40,50,50,40,60,60,50,70,50,60,40,40,30,50
Tampines,"261,230","11,210","12,260","13,820","18,180","21,380","20,420","18,820","18,000","18,310","19,840","22,810","22,490","17,360","11,470","5,500","4,300","2,830","2,240"
Tanglin,"19,000",930,"1,290","1,110","1,010",960,880,"1,140","1,580","1,990","1,800","1,530","1,260","1,140",940,540,380,250,270
Tengah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toa Payoh,"124,940","5,040","5,650","5,740","6,470","7,330","7,620","8,440","9,040","10,140","9,440","9,730","9,910","8,290","7,410","5,040","4,500","2,810","2,350"
Tuas,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Water Catchment,900,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30
Woodlands,"250,290","11,960","14,430","17,000","21,030","20,050","17,920","18,460","18,680","21,110","22,230","21,060","16,810","11,640","7,630","4,060","3,090","1,890","1,250"
Yishun,"201,970","10,230","9,950","10,440","12,190","14,650","17,010","17,040","15,420","15,110","14,950","17,360","15,950","12,310","8,340","4,430","3,190","1,940","1,480"
