Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MI CASA,323 Choa Chu Kang Avenue 3  #16-27 ,1,120,Strata,1150000,-,9583,890,28-Dec-18,Condominium,99 Yrs From 25/08/2008,2012,Resale,Private,23,68,689865,West Region,Choa Chu Kang
CENTRAL GREEN CONDOMINIUM,3 Jalan Membina  #03-02 ,1,88,Strata,1280000,-,14545,1351,28-Dec-18,Condominium,99 Yrs From 01/07/1992,1995,Resale,Private,3,16,169480,Central Region,Bukit Merah
MARTIN MODERN,8 Martin Place  #13-01 ,1,167,Strata,4978600,-,29812,2770,27-Dec-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237992,Central Region,River Valley
THE TRE VER,72 Potong Pasir Avenue 1  #04-44 ,1,102,Strata,1721000,-,16873,1567,27-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358397,Central Region,Toa Payoh
SEASONS VIEW,5 Pemimpin Drive  #10-01 ,1,106,Strata,1280000,-,12075,1122,27-Dec-18,Condominium,99 Yrs From 06/09/1996,2000,Resale,Private,20,57,576149,Central Region,Bishan
EUPHONY GARDENS,13 Jalan Mata Ayer  #01-75 ,1,106,Strata,772000,-,7283,677,27-Dec-18,Condominium,99 Yrs From 25/02/1998,2001,Resale,Private,27,75,759155,North Region,Mandai
GARDENVISTA,950 Dunearn Road  #10-02 ,1,108,Strata,1580000,-,14630,1359,27-Dec-18,Condominium,99 Yrs From 09/09/1999,2006,Resale,Private,21,58,589474,Central Region,Bukit Timah
CANBERRA RESIDENCES,525 Canberra Drive  #01-59 ,1,188,Strata,1618000,-,8606,800,27-Dec-18,Condominium,99 Yrs From 08/09/2010,2013,Resale,HDB,27,76,768136,North Region,Sembawang
ARCHIPELAGO,527 Bedok Reservoir Road  #04-99 ,1,77,Strata,1150000,-,14935,1388,27-Dec-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,Private,16,47,479280,East Region,Bedok
THE METROPOLITAN CONDOMINIUM,6 Alexandra View  #38-03 ,1,166,Strata,2550000,-,15361,1427,27-Dec-18,Condominium,99 Yrs From 17/02/2006,2009,Resale,Private,3,15,158746,Central Region,Bukit Merah
