Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
JADESCAPE,4 Shunfu Road  #07-12 ,1,94,Strata,1614000,-,17170,1595,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #09-01 ,1,71,Strata,1312000,-,18479,1717,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #18-60 ,1,84,Strata,1598340,-,19028,1768,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #05-20 ,1,94,Strata,1680000,-,17872,1660,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #09-26 ,1,60,Strata,1090000,-,18167,1688,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #05-01 ,1,71,Strata,1292000,-,18197,1691,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #19-34 ,1,60,Strata,1125000,-,18750,1742,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #02-12 ,1,94,Strata,1544000,-,16426,1526,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #15-33 ,1,117,Strata,2087000,-,17838,1657,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #15-28 ,1,98,Strata,1749000,-,17847,1658,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #11-19 ,1,60,Strata,1100000,-,18333,1703,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #09-59 ,1,49,Strata,912000,-,18612,1729,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #03-20 ,1,94,Strata,1668000,-,17745,1649,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #11-62 ,1,71,Strata,1287000,-,18127,1684,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #01-02 ,1,72,Strata,1255000,-,17431,1619,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #11-16 ,1,84,Strata,1519000,-,18083,1680,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #05-04 ,1,49,Strata,877000,-,17898,1663,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #15-27 ,1,60,Strata,1105000,-,18417,1711,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #16-56 ,1,84,Strata,1555000,-,18512,1720,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #12-03 ,1,72,Strata,1274000,-,17694,1644,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #08-01 ,1,71,Strata,1307000,-,18408,1710,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #16-11 ,1,98,Strata,1816000,-,18531,1722,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #10-20 ,1,98,Strata,1734000,-,17694,1644,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #04-62 ,1,71,Strata,1252000,-,17634,1638,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
PARK COLONIAL,4 Woodleigh Lane  #15-10 ,1,111,Strata,1735000,-,15631,1452,22-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh
JADESCAPE,6 Shunfu Road  #17-25 ,1,132,Strata,2388000,-,18091,1681,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #16-12 ,1,98,Strata,1699000,-,17337,1611,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #02-18 ,1,71,Strata,1242000,-,17493,1625,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,10 Shunfu Road  #06-39 ,1,153,Strata,2748900,-,17967,1669,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575746,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #02-26 ,1,60,Strata,1055000,-,17583,1634,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #07-02 ,1,72,Strata,1303000,-,18097,1681,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #16-41 ,1,71,Strata,1359000,-,19141,1778,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575747,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #14-27 ,1,60,Strata,1100000,-,18333,1703,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #12-25 ,1,132,Strata,2348000,-,17788,1653,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #06-19 ,1,60,Strata,1075000,-,17917,1664,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #04-16 ,1,84,Strata,1445000,-,17202,1598,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #04-26 ,1,60,Strata,1065000,-,17750,1649,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #16-27 ,1,60,Strata,1110000,-,18500,1719,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #05-26 ,1,60,Strata,1070000,-,17833,1657,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #23-03 ,1,72,Strata,1334000,-,18528,1721,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #09-58 ,1,49,Strata,912000,-,18612,1729,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #13-26 ,1,60,Strata,1110000,-,18500,1719,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #07-34 ,1,60,Strata,1065000,-,17750,1649,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #01-16 ,1,84,Strata,1353000,-,16107,1496,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #11-13 ,1,49,Strata,897000,-,18306,1701,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #10-41 ,1,71,Strata,1329000,-,18718,1739,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #10-55 ,1,106,Strata,1877000,-,17708,1645,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #03-19 ,1,60,Strata,1060000,-,17667,1641,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #12-55 ,1,106,Strata,1889000,-,17821,1656,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #22-02 ,1,72,Strata,1378000,-,19139,1778,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #02-34 ,1,60,Strata,969000,-,16150,1500,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #05-62 ,1,71,Strata,1257000,-,17704,1645,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #06-12 ,1,94,Strata,1608000,-,17106,1589,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #21-34 ,1,60,Strata,1135000,-,18917,1757,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #22-33 ,1,117,Strata,2136000,-,18256,1696,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #19-46 ,1,195,Strata,3273000,-,16785,1559,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
PARK COLONIAL,4 Woodleigh Lane  #14-11 ,1,91,Strata,1857000,-,20407,1896,22-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
JADESCAPE,2 Shunfu Road  #12-01 ,1,71,Strata,1327000,-,18690,1736,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #22-03 ,1,72,Strata,1329000,-,18458,1715,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #08-16 ,1,84,Strata,1501000,-,17869,1660,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #15-03 ,1,72,Strata,1294000,-,17972,1670,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #20-25 ,1,132,Strata,2412000,-,18273,1698,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #06-25 ,1,132,Strata,2300000,-,17424,1619,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #08-03 ,1,72,Strata,1254000,-,17417,1618,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #10-24 ,1,117,Strata,2081000,-,17786,1652,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #05-21 ,1,94,Strata,1680000,-,17872,1660,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
THE TRE VER,62 Potong Pasir Avenue 1  #11-10 ,1,69,Strata,1207000,-,17493,1625,22-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358392,Central Region,Toa Payoh
JADESCAPE,2 Shunfu Road  #06-03 ,1,72,Strata,1244000,-,17278,1605,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #12-28 ,1,98,Strata,1731000,-,17663,1641,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #05-18 ,1,71,Strata,1257000,-,17704,1645,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
PARK COLONIAL,6 Woodleigh Lane  #09-24 ,1,43,Strata,843000,-,19605,1821,22-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
JADESCAPE,2 Shunfu Road  #04-03 ,1,72,Strata,1222000,-,16972,1577,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #03-12 ,1,94,Strata,1550000,-,16489,1532,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #06-01 ,1,71,Strata,1297000,-,18268,1697,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #09-27 ,1,60,Strata,1075000,-,17917,1664,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #12-34 ,1,60,Strata,1090000,-,18167,1688,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #17-34 ,1,60,Strata,1115000,-,18583,1726,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #04-33 ,1,117,Strata,1923000,-,16436,1527,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #06-59 ,1,49,Strata,900000,-,18367,1706,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575749,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #14-56 ,1,84,Strata,1537000,-,18298,1700,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #13-34 ,1,60,Strata,1095000,-,18250,1695,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #14-02 ,1,72,Strata,1338000,-,18583,1726,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #23-13 ,1,49,Strata,949000,-,19367,1799,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #01-29 ,1,94,Strata,1685040,-,17926,1665,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #18-59 ,1,49,Strata,952000,-,19429,1805,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #04-19 ,1,60,Strata,1065000,-,17750,1649,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #11-02 ,1,72,Strata,1323000,-,18375,1707,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #01-34 ,1,60,Strata,989000,-,16483,1531,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #09-03 ,1,72,Strata,1259000,-,17486,1624,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #05-19 ,1,60,Strata,1070000,-,17833,1657,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #05-23 ,1,71,Strata,1257000,-,17704,1645,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #09-12 ,1,94,Strata,1626000,-,17298,1607,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #10-23 ,1,71,Strata,1282000,-,18056,1677,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #23-25 ,1,132,Strata,2436000,-,18455,1714,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #08-18 ,1,71,Strata,1272000,-,17915,1664,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #08-23 ,1,71,Strata,1272000,-,17915,1664,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #09-55 ,1,106,Strata,1871000,-,17651,1640,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #18-02 ,1,72,Strata,1358000,-,18861,1752,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #06-18 ,1,71,Strata,1262000,-,17775,1651,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #23-34 ,1,60,Strata,1145000,-,19083,1773,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #03-62 ,1,71,Strata,1247000,-,17563,1632,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #04-28 ,1,94,Strata,1658000,-,17638,1639,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #08-20 ,1,94,Strata,1698000,-,18064,1678,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #09-23 ,1,71,Strata,1277000,-,17986,1671,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #07-18 ,1,71,Strata,1267000,-,17845,1658,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #10-18 ,1,71,Strata,1282000,-,18056,1677,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #11-61 ,1,107,Strata,1866000,-,17439,1620,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #13-62 ,1,71,Strata,1297000,-,18268,1697,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #10-12 ,1,98,Strata,1657000,-,16908,1571,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #14-03 ,1,72,Strata,1284000,-,17833,1657,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #08-11 ,1,94,Strata,1745000,-,18564,1725,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #10-62 ,1,71,Strata,1282000,-,18056,1677,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #04-27 ,1,60,Strata,1035000,-,17250,1603,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #13-12 ,1,98,Strata,1675000,-,17092,1588,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #20-61 ,1,107,Strata,1920000,-,17944,1667,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #12-56 ,1,84,Strata,1525000,-,18155,1687,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #11-03 ,1,72,Strata,1269000,-,17625,1637,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #04-12 ,1,94,Strata,1556000,-,16553,1538,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #09-18 ,1,71,Strata,1277000,-,17986,1671,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #12-13 ,1,49,Strata,901000,-,18388,1708,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #05-28 ,1,94,Strata,1664000,-,17702,1645,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #07-62 ,1,71,Strata,1267000,-,17845,1658,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575749,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #22-46 ,1,195,Strata,3333000,-,17092,1588,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #06-58 ,1,49,Strata,900000,-,18367,1706,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575749,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #15-16 ,1,84,Strata,1549000,-,18440,1713,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #04-23 ,1,71,Strata,1252000,-,17634,1638,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #08-12 ,1,94,Strata,1620000,-,17234,1601,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #11-12 ,1,98,Strata,1663000,-,16969,1576,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #09-16 ,1,84,Strata,1507000,-,17940,1667,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #02-33 ,1,117,Strata,1848000,-,15795,1467,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #12-62 ,1,71,Strata,1292000,-,18197,1691,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
