Planning Area,Transacted Price ($),,,,,,,,
Hougang,1110000,,,,,,,,
Hougang,1160000,,,,,,,,
Sengkang,1728540,,,,,,,,
Pasir Ris,578000,,,,,,,,
Punggol,638000,,,,,,,,
Queenstown,1030000,,,,,,,,
Choa Chu Kang,900000,,,,,,,,
Hougang,1020000,,,,,,,,
Newton,2500000,,,,,,,,
Choa Chu Kang,1242000,,,,,,,,
Jurong East,1148000,,,,,,,,
Tampines,800000,,,,,,,,
Toa Payoh,778000,,,,,,,,
Clementi,1140000,,,,,,,,
Pasir Ris,1155000,,,,,,,,
Pasir Ris,1040000,,,,,,,,
Hougang,800000,,,,,,,,
Kallang,1338000,,,,,,,,
Toa Payoh,775000,,,,,,,,
Southern Islands,4400000,,,,,,,,
Bukit Merah,2600000,,,,,,,,
Pasir Ris,1230000,,,,,,,,
Pasir Ris,800000,,,,,,,,
Bukit Merah,1400000,,,,,,,,
Yishun,855000,,,,,,,,
Toa Payoh,840000,,,,,,,,
Bedok,1800000,,,,,,,,
Yishun,723000,,,,,,,,
Tampines,1250000,,,,,,,,
Bukit Merah,2182500,,,,,,,,
Pasir Ris,780000,,,,,,,,
Bukit Panjang,895000,,,,,,,,
Pasir Ris,910000,,,,,,,,
Kallang,2110000,,,,,,,,
Tampines,1450000,,,,,,,,
Bukit Panjang,1448000,,,,,,,,
Yishun,750000,,,,,,,,
Serangoon,590000,,,,,,,,
Sembawang,1339900,,,,,,,,
Bedok,1038000,,,,,,,,
Geylang,1088000,,,,,,,,
Hougang,1200000,,,,,,,,
Bukit Batok,1050000,,,,,,,,
Serangoon,918000,,,,,,,,
Hougang,1180000,,,,,,,,
Tampines,740000,,,,,,,,
Queenstown,1400000,,,,,,,,
Bukit Timah,1238800,,,,,,,,
River Valley,2026400,,,,,,,,
Toa Payoh,1940000,,,,,,,,
Sengkang,800000,,,,,,,,
Tampines,1180000,,,,,,,,
Toa Payoh,786000,,,,,,,,
Toa Payoh,1239000,,,,,,,,
Toa Payoh,1788000,,,,,,,,
Bukit Merah,2015000,,,,,,,,
Clementi,1138000,,,,,,,,
Punggol,990000,,,,,,,,
Woodlands,1400000,,,,,,,,
Tampines,1416800,,,,,,,,
River Valley,1996900,,,,,,,,
Toa Payoh,1804000,,,,,,,,
Toa Payoh,1183000,,,,,,,,
Toa Payoh,780000,,,,,,,,
River Valley,2987800,,,,,,,,
River Valley,3049000,,,,,,,,
Bukit Timah,950000,,,,,,,,
Southern Islands,1900000,,,,,,,,
Bukit Merah,2480000,,,,,,,,
Jurong West,1380000,,,,,,,,
Bukit Timah,3699000,,,,,,,,
Toa Payoh,1095000,,,,,,,,
Ang Mo Kio,870000,,,,,,,,
Novena,1725000,,,,,,,,
Bukit Merah,1610000,,,,,,,,
Bukit Timah,4720000,,,,,,,,
Tampines,652000,,,,,,,,
Kallang,1950000,,,,,,,,
Bukit Merah,3600000,,,,,,,,
Bedok,1300000,,,,,,,,
Bishan,1428000,,,,,,,,
Sengkang,1468000,,,,,,,,
Clementi,950000,,,,,,,,
Bukit Merah,1872000,,,,,,,,
Serangoon,927000,,,,,,,,
Bukit Panjang,1220000,,,,,,,,
Bukit Timah,4676000,,,,,,,,
Bukit Merah,2720000,,,,,,,,
Bishan,1760000,,,,,,,,
Ang Mo Kio,1320000,,,,,,,,
Hougang,850000,,,,,,,,
Geylang,2700000,,,,,,,,
Toa Payoh,2050000,,,,,,,,
Kallang,1028000,,,,,,,,
Pasir Ris,948000,,,,,,,,
Tampines,910000,,,,,,,,
Sengkang,1200000,,,,,,,,
Sengkang,908000,,,,,,,,
Punggol,3370000,,,,,,,,
Toa Payoh,1974060,,,,,,,,
Marine Parade,1898000,,,,,,,,
Sengkang,1888000,,,,,,,,
Bedok,1500000,,,,,,,,
Toa Payoh,798000,,,,,,,,
Bukit Merah,1615000,,,,,,,,
Sengkang,1250000,,,,,,,,
Bukit Panjang,835000,,,,,,,,
Hougang,1280000,,,,,,,,
Pasir Ris,816000,,,,,,,,
Bishan,1880000,,,,,,,,
Punggol,1120000,,,,,,,,
Hougang,1060000,,,,,,,,
Tampines,1300000,,,,,,,,
Punggol,980000,,,,,,,,
Clementi,1230000,,,,,,,,
Bukit Batok,1260000,,,,,,,,
Hougang,1070000,,,,,,,,
Bukit Timah,2020000,,,,,,,,
Pasir Ris,1617775,,,,,,,,
Geylang,1285000,,,,,,,,
Punggol,1248000,,,,,,,,
Toa Payoh,1118000,,,,,,,,
Downtown Core,1650000,,,,,,,,
Toa Payoh,638000,,,,,,,,
Bishan,800000,,,,,,,,
Pasir Ris,900000,,,,,,,,
Choa Chu Kang,1238000,,,,,,,,
Hougang,2218000,,,,,,,,
Novena,1960000,,,,,,,,
Clementi,1800000,,,,,,,,
Tanglin,5548800,,,,,,,,
Novena,1530000,,,,,,,,
Toa Payoh,1210000,,,,,,,,
Bukit Merah,2030000,,,,,,,,
Bedok,945000,,,,,,,,
Toa Payoh,2188000,,,,,,,,
Punggol,1000000,,,,,,,,
Bukit Batok,815000,,,,,,,,
Pasir Ris,888888,,,,,,,,
Pasir Ris,535000,,,,,,,,
Bukit Batok,930000,,,,,,,,
Kallang,1465000,,,,,,,,
Toa Payoh,947000,,,,,,,,
Toa Payoh,1083000,,,,,,,,
Toa Payoh,1202000,,,,,,,,
Sengkang,1659000,,,,,,,,
Toa Payoh,834000,,,,,,,,
Toa Payoh,1210000,,,,,,,,
Bedok,930000,,,,,,,,
Bedok,1360000,,,,,,,,
Punggol,965000,,,,,,,,
Bedok,1400000,,,,,,,,
Tampines,840000,,,,,,,,
Toa Payoh,1107000,,,,,,,,
Bukit Merah,2260000,,,,,,,,
Queenstown,2577000,,,,,,,,
Bukit Panjang,1500000,,,,,,,,
Bukit Merah,2425000,,,,,,,,
Bedok,1665000,,,,,,,,
Tampines,1308000,,,,,,,,
Kallang,1638000,,,,,,,,
Yishun,1130000,,,,,,,,
Geylang,1200000,,,,,,,,
Toa Payoh,1592000,,,,,,,,
Bukit Merah,1744380,,,,,,,,
Tampines,710120,,,,,,,,
Bedok,1495000,,,,,,,,
Queenstown,1450000,,,,,,,,
Clementi,1460000,,,,,,,,
Punggol,858000,,,,,,,,
Toa Payoh,1885000,,,,,,,,
Tampines,712800,,,,,,,,
Serangoon,1985000,,,,,,,,
Hougang,1100000,,,,,,,,
Sengkang,940000,,,,,,,,
Pasir Ris,1530000,,,,,,,,
Pasir Ris,1055000,,,,,,,,
Bedok,1800000,,,,,,,,
Sembawang,790000,,,,,,,,
Hougang,1180000,,,,,,,,
Toa Payoh,1852000,,,,,,,,
Toa Payoh,738000,,,,,,,,
Toa Payoh,1083000,,,,,,,,
Bukit Merah,2520000,,,,,,,,
Hougang,915000,,,,,,,,
Pasir Ris,820000,,,,,,,,
Jurong West,1300000,,,,,,,,
Pasir Ris,905000,,,,,,,,
Bukit Merah,1240000,,,,,,,,
Bukit Timah,1510000,,,,,,,,
Toa Payoh,1268000,,,,,,,,
Toa Payoh,746000,,,,,,,,
Toa Payoh,968000,,,,,,,,
Toa Payoh,1832000,,,,,,,,
Tampines,663390,,,,,,,,
Toa Payoh,1222000,,,,,,,,
Bukit Timah,1082050,,,,,,,,
Toa Payoh,1710000,,,,,,,,
Bedok,1780000,,,,,,,,
Marine Parade,1000000,,,,,,,,
Bishan,1950000,,,,,,,,
Toa Payoh,1113000,,,,,,,,
Downtown Core,2200000,,,,,,,,
Tampines,806400,,,,,,,,
Choa Chu Kang,1012888,,,,,,,,
Toa Payoh,1352000,,,,,,,,
Bukit Merah,2834000,,,,,,,,
Bedok,1265000,,,,,,,,
Hougang,940000,,,,,,,,
Hougang,950000,,,,,,,,
Sengkang,985520,,,,,,,,
Tampines,1520000,,,,,,,,
Hougang,1200000,,,,,,,,
Choa Chu Kang,1280000,,,,,,,,
Bedok,1135000,,,,,,,,
Serangoon,1984000,,,,,,,,
Jurong West,1680000,,,,,,,,
Bedok,1347112,,,,,,,,
Clementi,740000,,,,,,,,
Bedok,1700000,,,,,,,,
Bukit Merah,2130000,,,,,,,,
Bukit Merah,1100000,,,,,,,,
Jurong West,1195000,,,,,,,,
Woodlands,1070000,,,,,,,,
Toa Payoh,816000,,,,,,,,
Toa Payoh,902000,,,,,,,,
Toa Payoh,1685000,,,,,,,,
Toa Payoh,762000,,,,,,,,
River Valley,5641100,,,,,,,,
Toa Payoh,1177000,,,,,,,,
Toa Payoh,963000,,,,,,,,
Toa Payoh,818000,,,,,,,,
Tampines,710120,,,,,,,,
Toa Payoh,1113000,,,,,,,,
Tampines,2146687,,,,,,,,
Tampines,929600,,,,,,,,
Bukit Timah,1438000,,,,,,,,
Bukit Merah,2000000,,,,,,,,
Pasir Ris,700000,,,,,,,,
Jurong West,1390000,,,,,,,,
Geylang,1458000,,,,,,,,
Hougang,1016000,,,,,,,,
Bukit Batok,1028000,,,,,,,,
Bedok,1310000,,,,,,,,
Toa Payoh,1862000,,,,,,,,
Bukit Batok,1620000,,,,,,,,
Bukit Panjang,895000,,,,,,,,
Bukit Merah,1950000,,,,,,,,
Kallang,1030000,,,,,,,,
Hougang,755000,,,,,,,,
Toa Payoh,750000,,,,,,,,
Yishun,1100000,,,,,,,,
Kallang,1300000,,,,,,,,
Rochor,2130000,,,,,,,,
Bishan,1320000,,,,,,,,
Pasir Ris,1150000,,,,,,,,
Pasir Ris,830000,,,,,,,,
Bukit Merah,4300000,,,,,,,,
Toa Payoh,1106000,,,,,,,,
Sengkang,1255000,,,,,,,,
Toa Payoh,2400000,,,,,,,,
Bukit Batok,960000,,,,,,,,
Downtown Core,3000000,,,,,,,,
Yishun,1165000,,,,,,,,
Hougang,1450000,,,,,,,,
Bishan,1450000,,,,,,,,
Hougang,1000000,,,,,,,,
Toa Payoh,845000,,,,,,,,
Queenstown,1500000,,,,,,,,
Toa Payoh,1131000,,,,,,,,
Toa Payoh,1397000,,,,,,,,
Hougang,900000,,,,,,,,
Hougang,1250000,,,,,,,,
Geylang,2170600,,,,,,,,
Pasir Ris,1008888,,,,,,,,
Pasir Ris,1280000,,,,,,,,
Bedok,1100000,,,,,,,,
Toa Payoh,1245000,,,,,,,,
Woodlands,655000,,,,,,,,
Toa Payoh,1500000,,,,,,,,
Toa Payoh,1574000,,,,,,,,
Sengkang,960000,,,,,,,,
Pasir Ris,860000,,,,,,,,
Toa Payoh,839000,,,,,,,,
Woodlands,790000,,,,,,,,
Bedok,1750000,,,,,,,,
Geylang,3000000,,,,,,,,
Yishun,1220000,,,,,,,,
Bishan,1780000,,,,,,,,
Bukit Merah,1380000,,,,,,,,
Sengkang,825000,,,,,,,,
Tampines,843210,,,,,,,,
Sengkang,1220000,,,,,,,,
Toa Payoh,1556000,,,,,,,,
Toa Payoh,1627000,,,,,,,,
Toa Payoh,2897000,,,,,,,,
Toa Payoh,1087000,,,,,,,,
Hougang,937000,,,,,,,,
Toa Payoh,710000,,,,,,,,
Pasir Ris,999000,,,,,,,,
Toa Payoh,1070000,,,,,,,,
Marine Parade,1630000,,,,,,,,
Southern Islands,2650000,,,,,,,,
Choa Chu Kang,720000,,,,,,,,
Woodlands,750000,,,,,,,,
Tampines,1220000,,,,,,,,
Toa Payoh,1189000,,,,,,,,
River Valley,2282000,,,,,,,,
Bishan,1318000,,,,,,,,
Bukit Panjang,1305000,,,,,,,,
Bukit Batok,1030000,,,,,,,,
Bukit Timah,1700000,,,,,,,,
Bishan,1448000,,,,,,,,
Bukit Timah,5100000,,,,,,,,
Toa Payoh,1071000,,,,,,,,
Toa Payoh,951000,,,,,,,,
Toa Payoh,793000,,,,,,,,
Toa Payoh,1253000,,,,,,,,
Toa Payoh,1188000,,,,,,,,
Tampines,868000,,,,,,,,
Bukit Timah,1166000,,,,,,,,
Toa Payoh,932000,,,,,,,,
Toa Payoh,1094000,,,,,,,,
Bedok,970000,,,,,,,,
Toa Payoh,1218000,,,,,,,,
Pasir Ris,820000,,,,,,,,
Ang Mo Kio,1300000,,,,,,,,
Bukit Panjang,1555000,,,,,,,,
Punggol,888000,,,,,,,,
Clementi,713800,,,,,,,,
Woodlands,780000,,,,,,,,
Yishun,845000,,,,,,,,
Toa Payoh,1910000,,,,,,,,
Toa Payoh,1637000,,,,,,,,
Serangoon,1420000,,,,,,,,
Ang Mo Kio,825000,,,,,,,,
Punggol,1420000,,,,,,,,
Toa Payoh,1619000,,,,,,,,
Tampines,1230000,,,,,,,,
Kallang,1500000,,,,,,,,
Toa Payoh,984000,,,,,,,,
Bukit Panjang,1410000,,,,,,,,
Toa Payoh,994000,,,,,,,,
Toa Payoh,778000,,,,,,,,
Toa Payoh,907000,,,,,,,,
Toa Payoh,775000,,,,,,,,
Toa Payoh,1614000,,,,,,,,
Jurong East,1110000,,,,,,,,
Hougang,1180000,,,,,,,,
Clementi,1258000,,,,,,,,
Bedok,1272000,,,,,,,,
Pasir Ris,988000,,,,,,,,
Queenstown,1030000,,,,,,,,
Bedok,1240000,,,,,,,,
Bedok,965000,,,,,,,,
Serangoon,1080000,,,,,,,,
Bukit Merah,1450000,,,,,,,,
Sengkang,908000,,,,,,,,
Bedok,1530000,,,,,,,,
Punggol,640000,,,,,,,,
Toa Payoh,1710000,,,,,,,,
Tampines,925830,,,,,,,,
Yishun,765000,,,,,,,,
Bukit Merah,2626000,,,,,,,,
Toa Payoh,1738000,,,,,,,,
Kallang,1534000,,,,,,,,
Kallang,1020000,,,,,,,,
Toa Payoh,1125000,,,,,,,,
Clementi,1270000,,,,,,,,
Tampines,1010000,,,,,,,,
Yishun,800000,,,,,,,,
Toa Payoh,1948320,,,,,,,,
Bukit Merah,5250000,,,,,,,,
Bukit Merah,2886000,,,,,,,,
Pasir Ris,1128000,,,,,,,,
Toa Payoh,690000,,,,,,,,
Sengkang,1200000,,,,,,,,
Bukit Merah,1806000,,,,,,,,
Tampines,852800,,,,,,,,
Toa Payoh,1288000,,,,,,,,
Toa Payoh,1363000,,,,,,,,
Pasir Ris,930000,,,,,,,,
Serangoon,1560000,,,,,,,,
Rochor,2110000,,,,,,,,
Kallang,1900000,,,,,,,,
Sembawang,570000,,,,,,,,
Kallang,738888,,,,,,,,
Woodlands,560000,,,,,,,,
Pasir Ris,825000,,,,,,,,
Hougang,1538000,,,,,,,,
Sengkang,1098000,,,,,,,,
Bukit Merah,1538000,,,,,,,,
Clementi,1230000,,,,,,,,
Sengkang,1250000,,,,,,,,
Sengkang,603000,,,,,,,,
Jurong West,1130000,,,,,,,,
Tampines,700280,,,,,,,,
Toa Payoh,1114000,,,,,,,,
Tampines,1125000,,,,,,,,
Serangoon,1500000,,,,,,,,
Yishun,810000,,,,,,,,
Bedok,1160000,,,,,,,,
Toa Payoh,916000,,,,,,,,
Toa Payoh,2266000,,,,,,,,
Toa Payoh,1101000,,,,,,,,
Toa Payoh,1789000,,,,,,,,
Toa Payoh,1733000,,,,,,,,
Toa Payoh,1134000,,,,,,,,
Tampines,706840,,,,,,,,
Toa Payoh,1023000,,,,,,,,
Toa Payoh,740000,,,,,,,,
Toa Payoh,787000,,,,,,,,
Toa Payoh,1128000,,,,,,,,
Toa Payoh,1077000,,,,,,,,
Toa Payoh,1579000,,,,,,,,
Toa Payoh,1039000,,,,,,,,
Toa Payoh,742000,,,,,,,,
Toa Payoh,906000,,,,,,,,
Toa Payoh,975000,,,,,,,,
Toa Payoh,946000,,,,,,,,
Toa Payoh,1226000,,,,,,,,
Toa Payoh,1122000,,,,,,,,
Toa Payoh,730000,,,,,,,,
Toa Payoh,754000,,,,,,,,
Toa Payoh,794000,,,,,,,,
Toa Payoh,1773000,,,,,,,,
Toa Payoh,1741000,,,,,,,,
Toa Payoh,1717000,,,,,,,,
Toa Payoh,798000,,,,,,,,
Toa Payoh,916000,,,,,,,,
Toa Payoh,1218000,,,,,,,,
Toa Payoh,926000,,,,,,,,
Toa Payoh,1015000,,,,,,,,
Toa Payoh,941000,,,,,,,,
Toa Payoh,1107000,,,,,,,,
Toa Payoh,750000,,,,,,,,
Toa Payoh,1690000,,,,,,,,
Toa Payoh,1039000,,,,,,,,
Toa Payoh,1169000,,,,,,,,
Toa Payoh,1023000,,,,,,,,
Toa Payoh,1706000,,,,,,,,
Toa Payoh,1726000,,,,,,,,
Toa Payoh,758000,,,,,,,,
Toa Payoh,1095000,,,,,,,,
Toa Payoh,1077000,,,,,,,,
Toa Payoh,931000,,,,,,,,
Toa Payoh,1095000,,,,,,,,
Toa Payoh,740000,,,,,,,,
Toa Payoh,1052000,,,,,,,,
Toa Payoh,896000,,,,,,,,
Toa Payoh,762000,,,,,,,,
Toa Payoh,1113000,,,,,,,,
Toa Payoh,1089000,,,,,,,,
Toa Payoh,947000,,,,,,,,
Toa Payoh,1231000,,,,,,,,
Toa Payoh,1052000,,,,,,,,
Toa Payoh,2182000,,,,,,,,
Toa Payoh,1177000,,,,,,,,
Toa Payoh,746000,,,,,,,,
Toa Payoh,1755000,,,,,,,,
Toa Payoh,1080000,,,,,,,,
Toa Payoh,1201000,,,,,,,,
Toa Payoh,1143000,,,,,,,,
Toa Payoh,768000,,,,,,,,
Toa Payoh,750000,,,,,,,,
Toa Payoh,1189000,,,,,,,,
Toa Payoh,766000,,,,,,,,
Toa Payoh,1202000,,,,,,,,
Toa Payoh,1159000,,,,,,,,
Toa Payoh,742000,,,,,,,,
Toa Payoh,941000,,,,,,,,
Toa Payoh,1587000,,,,,,,,
Toa Payoh,762000,,,,,,,,
Toa Payoh,921000,,,,,,,,
Toa Payoh,911000,,,,,,,,
Toa Payoh,1159000,,,,,,,,
Toa Payoh,1116000,,,,,,,,
Toa Payoh,2096000,,,,,,,,
Toa Payoh,886000,,,,,,,,
Toa Payoh,901000,,,,,,,,
Toa Payoh,1577000,,,,,,,,
Toa Payoh,790000,,,,,,,,
Toa Payoh,1547000,,,,,,,,
Toa Payoh,1015000,,,,,,,,
Toa Payoh,891000,,,,,,,,
Toa Payoh,911000,,,,,,,,
Toa Payoh,1071000,,,,,,,,
Toa Payoh,1031000,,,,,,,,
Toa Payoh,783000,,,,,,,,
Toa Payoh,1145000,,,,,,,,
Toa Payoh,983000,,,,,,,,
Toa Payoh,1224000,,,,,,,,
Toa Payoh,1189000,,,,,,,,
Toa Payoh,921000,,,,,,,,
Toa Payoh,1094000,,,,,,,,
Toa Payoh,947000,,,,,,,,
Toa Payoh,1797000,,,,,,,,
Toa Payoh,1733000,,,,,,,,
Toa Payoh,1070000,,,,,,,,
Toa Payoh,999000,,,,,,,,
Toa Payoh,1175000,,,,,,,,
Toa Payoh,991000,,,,,,,,
Toa Payoh,746000,,,,,,,,
Toa Payoh,1709000,,,,,,,,
Toa Payoh,779000,,,,,,,,
Toa Payoh,746000,,,,,,,,
Toa Payoh,906000,,,,,,,,
Toa Payoh,1104000,,,,,,,,
Toa Payoh,977000,,,,,,,,
Toa Payoh,754000,,,,,,,,
Toa Payoh,1065000,,,,,,,,
Toa Payoh,1059000,,,,,,,,
Toa Payoh,1071000,,,,,,,,
Toa Payoh,1086000,,,,,,,,
Toa Payoh,1207000,,,,,,,,
Toa Payoh,1597000,,,,,,,,
Toa Payoh,1555000,,,,,,,,
Toa Payoh,1571000,,,,,,,,
Toa Payoh,1026000,,,,,,,,
Toa Payoh,1198000,,,,,,,,
Pasir Ris,518000,,,,,,,,
Jurong East,1000000,,,,,,,,
Sembawang,1160000,,,,,,,,
Novena,2000000,,,,,,,,
Toa Payoh,1662000,,,,,,,,
Choa Chu Kang,800000,,,,,,,,
Bukit Merah,1218000,,,,,,,,
Toa Payoh,887000,,,,,,,,
Toa Payoh,2085000,,,,,,,,
Bukit Timah,1660000,,,,,,,,
Pasir Ris,1280000,,,,,,,,
Toa Payoh,1159000,,,,,,,,
Toa Payoh,1077000,,,,,,,,
Bishan,1035000,,,,,,,,
Novena,1150000,,,,,,,,
Bukit Batok,910000,,,,,,,,
Toa Payoh,755000,,,,,,,,
Yishun,888000,,,,,,,,
Toa Payoh,1083000,,,,,,,,
Toa Payoh,1673000,,,,,,,,
Toa Payoh,798000,,,,,,,,
Tampines,670000,,,,,,,,
Toa Payoh,1710000,,,,,,,,
Toa Payoh,948000,,,,,,,,
Bedok,988000,,,,,,,,
Toa Payoh,1574000,,,,,,,,
Toa Payoh,1088000,,,,,,,,
Toa Payoh,1104000,,,,,,,,
Bedok,1608000,,,,,,,,
Bukit Merah,3600000,,,,,,,,
Bishan,1760000,,,,,,,,
Toa Payoh,1060000,,,,,,,,
Toa Payoh,834000,,,,,,,,
Queenstown,2438000,,,,,,,,
Tampines,1380000,,,,,,,,
Bukit Merah,1660000,,,,,,,,
Toa Payoh,1063000,,,,,,,,
Hougang,1080000,,,,,,,,
Toa Payoh,1087000,,,,,,,,
Hougang,1030000,,,,,,,,
Bukit Timah,1921850,,,,,,,,
Toa Payoh,1180000,,,,,,,,
Jurong West,1030000,,,,,,,,
Bukit Timah,1220000,,,,,,,,
Queenstown,1468000,,,,,,,,
Sengkang,1510180,,,,,,,,
Geylang,960000,,,,,,,,
Ang Mo Kio,810000,,,,,,,,
Jurong East,920000,,,,,,,,
Toa Payoh,1715000,,,,,,,,
Bedok,670000,,,,,,,,
Bedok,1500000,,,,,,,,
Bedok,1090000,,,,,,,,
Southern Islands,4688000,,,,,,,,
Yishun,1100000,,,,,,,,
Hougang,915000,,,,,,,,
Serangoon,1998000,,,,,,,,
Bedok,2276000,,,,,,,,
Bedok,1648000,,,,,,,,
Ang Mo Kio,1269000,,,,,,,,
Bukit Merah,1530000,,,,,,,,
River Valley,2337000,,,,,,,,
River Valley,4933400,,,,,,,,
Clementi,1320000,,,,,,,,
Toa Payoh,1720000,,,,,,,,
Pasir Ris,2770000,,,,,,,,
Bukit Batok,1025000,,,,,,,,
Pasir Ris,1400000,,,,,,,,
Ang Mo Kio,948000,,,,,,,,
Hougang,1400000,,,,,,,,
Bukit Panjang,1600000,,,,,,,,
Hougang,1160000,,,,,,,,
Geylang,1320000,,,,,,,,
Bishan,1415000,,,,,,,,
Toa Payoh,1094000,,,,,,,,
Hougang,1400000,,,,,,,,
Tanglin,1850000,,,,,,,,
Yishun,680000,,,,,,,,
Toa Payoh,840000,,,,,,,,
Bishan,1700000,,,,,,,,
Yishun,635000,,,,,,,,
Ang Mo Kio,1340000,,,,,,,,
Newton,2399998,,,,,,,,
Bedok,927000,,,,,,,,
Bukit Merah,1834000,,,,,,,,
Tampines,840000,,,,,,,,
Bukit Merah,2280000,,,,,,,,
Bukit Merah,2108000,,,,,,,,
Bukit Timah,1638750,,,,,,,,
Bukit Timah,1236900,,,,,,,,
Toa Payoh,1086000,,,,,,,,
Bukit Timah,1169450,,,,,,,,
Bukit Timah,1062100,,,,,,,,
Bukit Timah,1089650,,,,,,,,
Bukit Timah,1197950,,,,,,,,
Bukit Timah,929100,,,,,,,,
Bukit Timah,1342350,,,,,,,,
Bukit Timah,1853450,,,,,,,,
Bukit Timah,1082050,,,,,,,,
Bukit Timah,1797400,,,,,,,,
Bukit Timah,1324300,,,,,,,,
Bukit Timah,1280600,,,,,,,,
Bukit Timah,1224550,,,,,,,,
Bukit Timah,1032650,,,,,,,,
Bukit Timah,1301500,,,,,,,,
Bukit Timah,1024100,,,,,,,,
Bukit Timah,1177050,,,,,,,,
Tampines,613600,,,,,,,,
Bukit Timah,1269200,,,,,,,,
Bukit Timah,1092500,,,,,,,,
Bukit Timah,1072550,,,,,,,,
Bukit Timah,1244500,,,,,,,,
Bukit Timah,1257800,,,,,,,,
Bukit Timah,1890500,,,,,,,,
Bukit Timah,2741700,,,,,,,,
Bukit Timah,1312900,,,,,,,,
Bukit Timah,1827800,,,,,,,,
Bukit Timah,1194150,,,,,,,,
Bukit Timah,1728050,,,,,,,,
Bukit Timah,1748950,,,,,,,,
Bukit Timah,1811650,,,,,,,,
Bukit Timah,1236900,,,,,,,,
Bukit Timah,1092500,,,,,,,,
Bishan,1180000,,,,,,,,
Punggol,1288000,,,,,,,,
Rochor,2500000,,,,,,,,
Punggol,879000,,,,,,,,
Ang Mo Kio,1100000,,,,,,,,
Sengkang,1225000,,,,,,,,
Pasir Ris,565000,,,,,,,,
Toa Payoh,930000,,,,,,,,
Bukit Panjang,1350000,,,,,,,,
River Valley,2479500,,,,,,,,
Bukit Merah,1555000,,,,,,,,
Bishan,1880000,,,,,,,,
Woodlands,850000,,,,,,,,
Ang Mo Kio,970000,,,,,,,,
Choa Chu Kang,825000,,,,,,,,
Kallang,1560000,,,,,,,,
Kallang,1650000,,,,,,,,
Yishun,1430000,,,,,,,,
Toa Payoh,620000,,,,,,,,
Pasir Ris,550000,,,,,,,,
Bukit Merah,1110000,,,,,,,,
Ang Mo Kio,1100000,,,,,,,,
Tampines,703560,,,,,,,,
Ang Mo Kio,1060000,,,,,,,,
Bukit Merah,2478000,,,,,,,,
Pasir Ris,972000,,,,,,,,
Pasir Ris,680000,,,,,,,,
Novena,1950000,,,,,,,,
Serangoon,700000,,,,,,,,
Bedok,1125000,,,,,,,,
Bukit Panjang,1200000,,,,,,,,
Bedok,1110000,,,,,,,,
Sembawang,1530000,,,,,,,,
Tampines,1000000,,,,,,,,
Bedok,690000,,,,,,,,
Hougang,935000,,,,,,,,
Kallang,1050000,,,,,,,,
Bedok,760000,,,,,,,,
Woodlands,700000,,,,,,,,
Pasir Ris,680000,,,,,,,,
Hougang,1630000,,,,,,,,
Kallang,3500000,,,,,,,,
Toa Payoh,690000,,,,,,,,
Hougang,1565000,,,,,,,,
Novena,1980000,,,,,,,,
Bedok,2260000,,,,,,,,
Pasir Ris,780000,,,,,,,,
Woodlands,515000,,,,,,,,
Yishun,619000,,,,,,,,
Bukit Panjang,1280000,,,,,,,,
Sengkang,593000,,,,,,,,
Southern Islands,6520000,,,,,,,,
Clementi,1310000,,,,,,,,
Bukit Merah,1550000,,,,,,,,
Toa Payoh,830000,,,,,,,,
Hougang,1160000,,,,,,,,
Sengkang,1080000,,,,,,,,
Bukit Merah,3737000,,,,,,,,
Kallang,760000,,,,,,,,
Bukit Merah,2250000,,,,,,,,
Pasir Ris,830000,,,,,,,,
Hougang,1500000,,,,,,,,
Sengkang,1350000,,,,,,,,
Southern Islands,2500000,,,,,,,,
Hougang,858000,,,,,,,,
Bukit Merah,2308680,,,,,,,,
Bukit Merah,2299770,,,,,,,,
Tampines,1210000,,,,,,,,
Hougang,2200000,,,,,,,,
Bukit Merah,2313630,,,,,,,,
Hougang,990000,,,,,,,,
Hougang,740000,,,,,,,,
Bukit Batok,1040000,,,,,,,,
Bukit Timah,2288888,,,,,,,,
Bukit Merah,2093000,,,,,,,,
Bedok,810000,,,,,,,,
Bukit Batok,865000,,,,,,,,
Bedok,829000,,,,,,,,
Pasir Ris,1380000,,,,,,,,
Toa Payoh,831000,,,,,,,,
Rochor,2750000,,,,,,,,
Bukit Timah,2050000,,,,,,,,
Woodlands,750000,,,,,,,,
Kallang,1780000,,,,,,,,
River Valley,2236300,,,,,,,,
Toa Payoh,1268000,,,,,,,,
Pasir Ris,890000,,,,,,,,
Bedok,968800,,,,,,,,
Serangoon,1400000,,,,,,,,
Bukit Merah,2356200,,,,,,,,
Hougang,1150000,,,,,,,,
Yishun,1191000,,,,,,,,
Marine Parade,1000000,,,,,,,,
Pasir Ris,1150000,,,,,,,,
Newton,2820000,,,,,,,,
Ang Mo Kio,1130000,,,,,,,,
Bishan,2210000,,,,,,,,
Jurong West,1195000,,,,,,,,
Sembawang,838000,,,,,,,,
Ang Mo Kio,1165000,,,,,,,,
Yishun,750000,,,,,,,,
Pasir Ris,860000,,,,,,,,
Serangoon,1500000,,,,,,,,
Hougang,910000,,,,,,,,
Woodlands,650000,,,,,,,,
Clementi,1020000,,,,,,,,
Yishun,1240000,,,,,,,,
Serangoon,1300000,,,,,,,,
Bedok,1058889,,,,,,,,
