Planning Area,Transacted Price ($),,,,,,,,
Toa Payoh,1604000,,,,,,,,
Toa Payoh,1575000,,,,,,,,
Bukit Merah,975000,,,,,,,,
Sembawang,908300,,,,,,,,
Bukit Timah,1230000,,,,,,,,
Toa Payoh,1351000,,,,,,,,
Clementi,903000,,,,,,,,
Jurong West,1290000,,,,,,,,
Bedok,1600000,,,,,,,,
Toa Payoh,2445000,,,,,,,,
Toa Payoh,1094000,,,,,,,,
Yishun,870000,,,,,,,,
Toa Payoh,1876000,,,,,,,,
Tampines,1170400,,,,,,,,
Bedok,1380000,,,,,,,,
Bukit Panjang,2000000,,,,,,,,
Bukit Merah,2520000,,,,,,,,
Jurong West,1380000,,,,,,,,
Tampines,1218400,,,,,,,,
Clementi,1780000,,,,,,,,
Bukit Merah,1850000,,,,,,,,
Tampines,848000,,,,,,,,
Toa Payoh,1121000,,,,,,,,
Pasir Ris,900000,,,,,,,,
Toa Payoh,796000,,,,,,,,
Tampines,683880,,,,,,,,
Bishan,1375000,,,,,,,,
Bukit Timah,2600000,,,,,,,,
Tampines,921600,,,,,,,,
Geylang,1375000,,,,,,,,
Clementi,1295000,,,,,,,,
Serangoon,1125000,,,,,,,,
Bukit Merah,2100000,,,,,,,,
Singapore River,1650000,,,,,,,,
Bedok,1400000,,,,,,,,
Bishan,1076800,,,,,,,,
Hougang,1190000,,,,,,,,
Marine Parade,1610000,,,,,,,,
Pasir Ris,938000,,,,,,,,
Punggol,1360000,,,,,,,,
Bukit Batok,690000,,,,,,,,
Bukit Panjang,1050000,,,,,,,,
Bukit Timah,992000,,,,,,,,
Toa Payoh,1125000,,,,,,,,
Tampines,1450400,,,,,,,,
Bishan,1168700,,,,,,,,
Tampines,1210400,,,,,,,,
Toa Payoh,837000,,,,,,,,
Toa Payoh,1680000,,,,,,,,
Tampines,879660,,,,,,,,
Pasir Ris,835000,,,,,,,,
Bishan,1535000,,,,,,,,
Hougang,1155000,,,,,,,,
Kallang,1658000,,,,,,,,
Bukit Batok,805000,,,,,,,,
Tampines,851310,,,,,,,,
Punggol,822000,,,,,,,,
Mandai,828800,,,,,,,,
Yishun,840000,,,,,,,,
Pasir Ris,950000,,,,,,,,
Choa Chu Kang,1210000,,,,,,,,
Sengkang,685000,,,,,,,,
Bishan,1820000,,,,,,,,
Geylang,1210000,,,,,,,,
Toa Payoh,1705000,,,,,,,,
Hougang,1320000,,,,,,,,
Kallang,1160000,,,,,,,,
Tampines,1411200,,,,,,,,
Bedok,2192000,,,,,,,,
Bedok,918000,,,,,,,,
Bukit Merah,3339630,,,,,,,,
Toa Payoh,837000,,,,,,,,
Toa Payoh,1232000,,,,,,,,
Bukit Merah,1280000,,,,,,,,
Jurong West,1180000,,,,,,,,
Toa Payoh,1103000,,,,,,,,
Bukit Merah,2000000,,,,,,,,
Bukit Merah,1550000,,,,,,,,
Bishan,3299700,,,,,,,,
Kallang,1850000,,,,,,,,
Ang Mo Kio,1740000,,,,,,,,
Bukit Batok,994000,,,,,,,,
Tanglin,2780000,,,,,,,,
Bukit Timah,2028000,,,,,,,,
Bedok,1530000,,,,,,,,
Choa Chu Kang,965000,,,,,,,,
Bishan,950000,,,,,,,,
Tampines,1318888,,,,,,,,
Pasir Ris,849000,,,,,,,,
Bedok,900000,,,,,,,,
Toa Payoh,1055000,,,,,,,,
Toa Payoh,2390000,,,,,,,,
Bedok,910000,,,,,,,,
Tampines,1436800,,,,,,,,
Queenstown,1090000,,,,,,,,
Jurong West,888000,,,,,,,,
Tampines,912870,,,,,,,,
Tampines,1000000,,,,,,,,
Tampines,970000,,,,,,,,
Toa Payoh,1606000,,,,,,,,
Bishan,2118000,,,,,,,,
Toa Payoh,1849000,,,,,,,,
Toa Payoh,1214000,,,,,,,,
Tampines,690000,,,,,,,,
Pasir Ris,1335000,,,,,,,,
Choa Chu Kang,898000,,,,,,,,
Kallang,2520000,,,,,,,,
Toa Payoh,1228000,,,,,,,,
Sengkang,944000,,,,,,,,
Toa Payoh,2211000,,,,,,,,
River Valley,2403000,,,,,,,,
Bukit Panjang,808000,,,,,,,,
Bukit Timah,1000000,,,,,,,,
Toa Payoh,1704000,,,,,,,,
Toa Payoh,1135000,,,,,,,,
Bukit Merah,1230000,,,,,,,,
Yishun,743000,,,,,,,,
Sembawang,1175600,,,,,,,,
Sengkang,877000,,,,,,,,
Bishan,1351300,,,,,,,,
Bishan,1791300,,,,,,,,
Tampines,706840,,,,,,,,
Bedok,1485000,,,,,,,,
Toa Payoh,1199000,,,,,,,,
Serangoon,1100000,,,,,,,,
Marine Parade,1750000,,,,,,,,
Bukit Merah,1670000,,,,,,,,
Bukit Merah,1890000,,,,,,,,
Tampines,1459200,,,,,,,,
Bukit Merah,2680000,,,,,,,,
Ang Mo Kio,837000,,,,,,,,
Bukit Panjang,1540000,,,,,,,,
Tampines,1225600,,,,,,,,
Bishan,2168888,,,,,,,,
River Valley,5552000,,,,,,,,
Toa Payoh,1979010,,,,,,,,
Serangoon,1620000,,,,,,,,
Bukit Timah,1922800,,,,,,,,
Tampines,610400,,,,,,,,
Jurong West,1150000,,,,,,,,
Pasir Ris,650000,,,,,,,,
Kallang,725000,,,,,,,,
Kallang,3268000,,,,,,,,
Tampines,1250000,,,,,,,,
Yishun,1000000,,,,,,,,
Hougang,830000,,,,,,,,
Clementi,1180000,,,,,,,,
Bukit Merah,2070000,,,,,,,,
Toa Payoh,1121000,,,,,,,,
Marine Parade,1600000,,,,,,,,
Yishun,870000,,,,,,,,
Bishan,1163500,,,,,,,,
Jurong West,1175000,,,,,,,,
Sembawang,868000,,,,,,,,
Clementi,783000,,,,,,,,
Tanglin,1570000,,,,,,,,
Bedok,890000,,,,,,,,
Bukit Merah,2550000,,,,,,,,
Woodlands,530000,,,,,,,,
Yishun,1250000,,,,,,,,
Sengkang,1260000,,,,,,,,
Queenstown,1545000,,,,,,,,
Bedok,918000,,,,,,,,
Hougang,1620000,,,,,,,,
Choa Chu Kang,1550000,,,,,,,,
Tampines,1020000,,,,,,,,
Clementi,965000,,,,,,,,
Toa Payoh,1041000,,,,,,,,
Toa Payoh,905000,,,,,,,,
Bukit Timah,1080000,,,,,,,,
Bedok,1659000,,,,,,,,
Tampines,980000,,,,,,,,
Serangoon,1350000,,,,,,,,
Bedok,1178000,,,,,,,,
Toa Payoh,866000,,,,,,,,
Sengkang,1240000,,,,,,,,
Pasir Ris,1040000,,,,,,,,
Toa Payoh,816000,,,,,,,,
Pasir Ris,1108888,,,,,,,,
Yishun,930000,,,,,,,,
Bukit Timah,1504000,,,,,,,,
Queenstown,1200000,,,,,,,,
Sembawang,820000,,,,,,,,
Toa Payoh,1559000,,,,,,,,
Pasir Ris,1880000,,,,,,,,
Toa Payoh,1582000,,,,,,,,
Serangoon,1090000,,,,,,,,
Sembawang,1213900,,,,,,,,
Bukit Merah,1528000,,,,,,,,
Tampines,1732800,,,,,,,,
Toa Payoh,973000,,,,,,,,
Bukit Timah,2008167,,,,,,,,
Tampines,1215000,,,,,,,,
Bishan,940000,,,,,,,,
Bukit Merah,1680000,,,,,,,,
Sembawang,1222394,,,,,,,,
Pasir Ris,1298000,,,,,,,,
Bukit Merah,1340000,,,,,,,,
Pasir Ris,1448000,,,,,,,,
Pasir Ris,800000,,,,,,,,
Yishun,1135000,,,,,,,,
Bukit Panjang,1450000,,,,,,,,
Bukit Merah,1400000,,,,,,,,
Choa Chu Kang,1100000,,,,,,,,
Woodlands,1138000,,,,,,,,
Jurong East,1250000,,,,,,,,
Bukit Timah,940000,,,,,,,,
Bedok,1660000,,,,,,,,
Hougang,839888,,,,,,,,
Bukit Batok,700888,,,,,,,,
Sengkang,918590,,,,,,,,
Bedok,888000,,,,,,,,
River Valley,2198400,,,,,,,,
Bukit Batok,938000,,,,,,,,
Hougang,1100000,,,,,,,,
Bukit Timah,2150000,,,,,,,,
Hougang,2180000,,,,,,,,
Bukit Panjang,950000,,,,,,,,
Bukit Batok,1025000,,,,,,,,
Bedok,1575000,,,,,,,,
Toa Payoh,1219000,,,,,,,,
Bishan,822800,,,,,,,,
Pasir Ris,895000,,,,,,,,
Queenstown,1515000,,,,,,,,
Pasir Ris,1450888,,,,,,,,
Sengkang,925000,,,,,,,,
Pasir Ris,830000,,,,,,,,
Bedok,1245000,,,,,,,,
Sengkang,938000,,,,,,,,
Bukit Timah,1240000,,,,,,,,
Bukit Timah,1060000,,,,,,,,
Bedok,1700000,,,,,,,,
Ang Mo Kio,1550000,,,,,,,,
River Valley,4805800,,,,,,,,
Punggol,862000,,,,,,,,
Bedok,800000,,,,,,,,
Pasir Ris,1080000,,,,,,,,
Bishan,1618500,,,,,,,,
Bukit Merah,1600000,,,,,,,,
Punggol,1350000,,,,,,,,
Kallang,1503000,,,,,,,,
Pasir Ris,1020000,,,,,,,,
Sengkang,1300000,,,,,,,,
Hougang,1000000,,,,,,,,
Bedok,1198888,,,,,,,,
Bukit Merah,2114000,,,,,,,,
Bukit Merah,1212000,,,,,,,,
Bukit Merah,2156000,,,,,,,,
Hougang,1068000,,,,,,,,
Hougang,1200000,,,,,,,,
Bishan,2150000,,,,,,,,
Bedok,1118000,,,,,,,,
Toa Payoh,892000,,,,,,,,
Bukit Timah,1462000,,,,,,,,
Bukit Batok,808000,,,,,,,,
Bishan,1158500,,,,,,,,
Tampines,1016550,,,,,,,,
Bukit Timah,1560240,,,,,,,,
Bishan,1143100,,,,,,,,
Bukit Merah,1585000,,,,,,,,
Toa Payoh,978000,,,,,,,,
Tampines,1355200,,,,,,,,
Tampines,655200,,,,,,,,
Bukit Timah,1130000,,,,,,,,
River Valley,2341500,,,,,,,,
Tampines,687160,,,,,,,,
Woodlands,870000,,,,,,,,
Pasir Ris,528888,,,,,,,,
Mandai,730000,,,,,,,,
Rochor,2180000,,,,,,,,
Tampines,1290000,,,,,,,,
Bedok,939888,,,,,,,,
Tampines,1498000,,,,,,,,
Hougang,1380000,,,,,,,,
Toa Payoh,2076380,,,,,,,,
Jurong East,1300000,,,,,,,,
Kallang,1460000,,,,,,,,
Yishun,1368000,,,,,,,,
River Valley,4753500,,,,,,,,
Bukit Merah,1750000,,,,,,,,
Toa Payoh,1899000,,,,,,,,
Pasir Ris,790000,,,,,,,,
Bukit Panjang,1260000,,,,,,,,
River Valley,1973000,,,,,,,,
Toa Payoh,1150000,,,,,,,,
Toa Payoh,1954260,,,,,,,,
Hougang,1020000,,,,,,,,
Tampines,1087000,,,,,,,,
Pasir Ris,2000000,,,,,,,,
Geylang,1370000,,,,,,,,
Jurong West,930000,,,,,,,,
Bukit Merah,3180000,,,,,,,,
Bukit Merah,2080000,,,,,,,,
Pasir Ris,1538888,,,,,,,,
Queenstown,1500000,,,,,,,,
Toa Payoh,1187000,,,,,,,,
Bedok,1190000,,,,,,,,
Bukit Merah,1270000,,,,,,,,
Pasir Ris,588000,,,,,,,,
Bedok,928000,,,,,,,,
Woodlands,805000,,,,,,,,
Bishan,1328000,,,,,,,,
Pasir Ris,849000,,,,,,,,
Toa Payoh,1657000,,,,,,,,
Kallang,1200000,,,,,,,,
Hougang,1698888,,,,,,,,
Sengkang,700000,,,,,,,,
Clementi,1180000,,,,,,,,
Clementi,1580000,,,,,,,,
Bukit Merah,1480000,,,,,,,,
Jurong West,1750000,,,,,,,,
Geylang,1320000,,,,,,,,
Bukit Merah,1600000,,,,,,,,
Jurong West,1360000,,,,,,,,
Serangoon,1500000,,,,,,,,
Punggol,1200000,,,,,,,,
Newton,2600000,,,,,,,,
Clementi,1838000,,,,,,,,
Sembawang,1010000,,,,,,,,
Hougang,1130000,,,,,,,,
Pasir Ris,1200000,,,,,,,,
Bedok,2350000,,,,,,,,
Toa Payoh,1111000,,,,,,,,
Pasir Ris,910000,,,,,,,,
Sengkang,780000,,,,,,,,
Jurong East,1460000,,,,,,,,
Bishan,1141700,,,,,,,,
Pasir Ris,665000,,,,,,,,
Toa Payoh,2439000,,,,,,,,
Toa Payoh,950000,,,,,,,,
Bishan,1259500,,,,,,,,
Bishan,1321600,,,,,,,,
Bukit Timah,1508000,,,,,,,,
Toa Payoh,995000,,,,,,,,
Toa Payoh,2997000,,,,,,,,
Bishan,3194600,,,,,,,,
Toa Payoh,1186000,,,,,,,,
Toa Payoh,1145000,,,,,,,,
Toa Payoh,1143000,,,,,,,,
Toa Payoh,1567000,,,,,,,,
Bishan,1562600,,,,,,,,
Toa Payoh,1654000,,,,,,,,
Toa Payoh,1038000,,,,,,,,
Yishun,1480000,,,,,,,,
Bukit Batok,904888,,,,,,,,
Yishun,950000,,,,,,,,
Bedok,1200000,,,,,,,,
Jurong West,998000,,,,,,,,
Pasir Ris,1080000,,,,,,,,
Bukit Timah,2356361,,,,,,,,
Bedok,685000,,,,,,,,
Sengkang,1070000,,,,,,,,
River Valley,2409000,,,,,,,,
Bukit Timah,2320000,,,,,,,,
Queenstown,1500000,,,,,,,,
Serangoon,1991000,,,,,,,,
Punggol,1300000,,,,,,,,
River Valley,3523600,,,,,,,,
Kallang,1540000,,,,,,,,
Hougang,1578000,,,,,,,,
Jurong East,1430000,,,,,,,,
Toa Payoh,1076000,,,,,,,,
Woodlands,865000,,,,,,,,
Bedok,990000,,,,,,,,
Bukit Batok,1340000,,,,,,,,
Tanglin,3025000,,,,,,,,
Bukit Timah,1765000,,,,,,,,
Hougang,1350000,,,,,,,,
Kallang,988000,,,,,,,,
Toa Payoh,1103000,,,,,,,,
Yishun,780000,,,,,,,,
Bedok,1000000,,,,,,,,
Hougang,1595000,,,,,,,,
Toa Payoh,782000,,,,,,,,
Bukit Merah,1810000,,,,,,,,
Bishan,4250000,,,,,,,,
Pasir Ris,1180000,,,,,,,,
Bukit Merah,2158000,,,,,,,,
Tampines,1430000,,,,,,,,
Hougang,620000,,,,,,,,
Kallang,2198000,,,,,,,,
Bukit Timah,1738000,,,,,,,,
Sembawang,1000000,,,,,,,,
Bedok,1740000,,,,,,,,
Bishan,889000,,,,,,,,
Geylang,1300000,,,,,,,,
Jurong West,1010000,,,,,,,,
Toa Payoh,818000,,,,,,,,
Queenstown,1550000,,,,,,,,
Yishun,940000,,,,,,,,
Bukit Timah,1474000,,,,,,,,
Bishan,1318600,,,,,,,,
Hougang,1570000,,,,,,,,
Jurong West,1100000,,,,,,,,
Novena,3150000,,,,,,,,
