Planning Area,Age 0 - 4,Age 5 - 9,Age 10 - 14,Age 15 - 19,Age 25 - 29,Age 30 - 34,Age 35 - 39,Age 40 - 44,Age 45 - 49,Age 50 - 54,Age 55 - 59,Age 60 - 64,Age 65 - 69,Age 70 - 74,Age 75 - 79
Marine Parade,"2,180","2,710","2,690","2,600","2,610","2,880","3,860","4,580","3,830","3,680","3,370","2,890","2,760","1,780","1,650"
Museum,20,20,10,10,10,40,60,50,30,40,20,20,10,10,NA
Newton,300,470,330,330,340,400,580,740,660,610,470,430,360,180,160
North-Eastern Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novena,"2,260","2,770","2,510","2,540","2,640","3,030","3,980","4,510","3,910","3,710","3,360","2,860","2,460","1,590","1,380"
Orchard,40,60,40,30,50,60,70,90,80,70,80,70,70,30,20
Outram,"1,290","1,080",710,750,"1,160","1,680","2,140","1,730","1,470","1,590","1,650","1,590","1,470",930,850
Pasir Ris,"5,760","7,100","9,020","12,330","9,100","7,980","9,090","10,360","12,960","14,080","10,480","7,040","4,470","2,340","1,900"
Paya Lebar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pioneer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punggol,"12,000","9,200","6,190","4,450","6,750","15,690","13,400","10,610","6,500","5,540","4,730","3,960","3,020","1,560","1,040"
Queenstown,"4,450","4,510","4,360","4,750","6,150","7,110","7,650","8,050","7,610","7,500","6,730","6,150","5,900","3,950","3,700"
River Valley,420,520,520,410,500,640,870,"1,050",870,670,620,500,470,260,180
Rochor,550,570,580,610,890,"1,050","1,270","1,260","1,060","1,110","1,130","1,050",900,620,510
Seletar,10,20,20,20,10,NA,20,40,30,40,20,10,10,NA,10
Sembawang,"4,460","5,400","5,370","4,820","5,120","6,380","7,200","7,650","6,110","5,670","4,890","3,440","2,210","1,280",930
Sengkang,"15,340","15,180","12,630","11,840","14,330","21,130","21,090","19,230","14,700","13,630","12,640","9,270","6,430","3,350","2,410"
Serangoon,"4,070","5,080","6,210","7,730","9,040","7,510","7,460","8,540","8,770","10,040","10,780","9,160","6,850","3,680","2,980"
Simpang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore River,200,170,120,90,90,280,360,410,270,190,140,100,90,50,40
Southern Islands,90,90,80,90,70,60,120,160,200,180,110,70,40,20,10
Straits View,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sungei Kadut,30,30,40,40,50,50,40,60,60,50,70,50,60,40,40
Tampines,"11,210","12,260","13,820","18,180","20,420","18,820","18,000","18,310","19,840","22,810","22,490","17,360","11,470","5,500","4,300"
Tanglin,930,"1,290","1,110","1,010",880,"1,140","1,580","1,990","1,800","1,530","1,260","1,140",940,540,380
Tengah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
